strategy,ticker,date,price,rsi7,intraday,ret1d,consec_down,dist_low5,tp_price,sl_price,rsi14,ret5d,hold_days,ret3d,vol_avg,scan_time,vol_20d,vol_ratio,macd_hist,stoch_k,dist_52w,bb_pctb,ret_1d,gap_pct,atr_change,ret_5d,sma5
C,QNTM,2026-03-10,2.8,16.2,21.1,-16.7,4.0,0.0,2.94,2.24,,,,,,,,,,,,,,,,,
C,SMX,2026-03-10,23.71,23.1,22.2,-18.9,4.0,0.0,24.9,18.97,,,,,,,,,,,,,,,,,
D,CMCT,2026-03-10,1.34,,31.1,,,,1.61,,22.6,-44.9,30.0,,,,,,,,,,,,,,
C,SMX,2026-03-11,23.71,23.1,22.3,-18.9,4.0,0.08,24.9,18.97,,,,,,,,,,,,,,,,,
D,CMCT,2026-03-11,1.34,,35.9,,,,1.61,,22.6,-44.9,30.0,,,,,,,,,,,,,,
C,QNTM,2026-03-11,2.1,9.9,32.9,-25.0,5.0,1.45,2.2,1.68,,,,,,,,,,,,,,,,,
D,QNTM,2026-03-11,2.1,,32.9,,,,2.52,,18.5,-44.7,30.0,,,,,,,,,,,,,,
A,ZNB,2026-03-13,5.8,12.6,37.9,,6.0,4.8,6.1,4.64,,,,-63.7,,,,,,,,,,,,,
A,ZNB,2026-03-16,4.24,11.5,21.5,,7.0,0.0,4.46,3.4,,,,-61.4,,,,,,,,,,,,,
C,ZNB,2026-03-16,4.24,11.5,21.5,-26.9,7.0,0.0,4.46,3.4,,,,,,,,,,,,,,,,,
A,SMX,2026-03-16,11.78,13.7,21.2,,8.0,0.9,12.37,9.42,,,,-47.1,,,,,,,,,,,,,
C,SMX,2026-03-16,11.78,13.7,21.2,-18.8,8.0,0.86,12.37,9.42,,,,,,,,,,,,,,,,,
E,SNBR,2026-03-16,3.23,,20.1,,5.0,,3.55,,,-39.1,30.0,,1240910.0,,,,,,,,,,,,
E,LFCR,2026-03-16,4.36,,35.4,,5.0,,4.8,,,-37.5,30.0,,207265.0,,,,,,,,,,,,
A,SMX,2026-03-17,11.78,13.7,21.2,,8.0,0.9,12.37,9.42,,,,-47.1,,,,,,,,,,,,,
C,SMX,2026-03-17,11.78,13.7,21.2,-18.8,8.0,0.86,12.37,9.42,,,,,,,,,,,,,,,,,
E,SNBR,2026-03-17,3.23,,20.1,,5.0,,3.55,,,-39.1,30.0,,1241040.0,,,,,,,,,,,,
E,LFCR,2026-03-17,4.36,,35.4,,5.0,,4.8,,,-37.5,30.0,,207265.0,,,,,,,,,,,,
A,ZNB,2026-03-17,3.77,11.2,26.1,,8.0,4.7,3.96,3.02,,,,-56.7,,,,,,,,,,,,,
D,ALDX,2026-03-17,1.24,,39.3,,,,1.49,,17.6,-75.2,30.0,,,,,,,,,,,,,,
E,NCI,2026-03-17,5.19,,23.9,,5.0,,5.71,,,-56.7,30.0,,2031447.0,,,,,,,,,,,,
E,NCI,2026-03-18,5.19,,23.9,,5.0,,5.71,,,-56.7,30.0,,2031447.0,,,,,,,,,,,,
A,SMX,2026-03-18,8.58,11.7,23.0,,10.0,2.0,9.01,6.86,,,,-40.9,,,,,,,,,,,,,
C,SMX,2026-03-18,8.58,11.7,23.0,-20.8,10.0,1.97,9.01,6.86,,,,,,,,,,,,,,,,,
D,ALDX,2026-03-18,1.42,,33.6,,,,1.7,,20.3,-71.3,30.0,,,,,,,,,,,,,,
E,SMX,2026-03-18,8.58,,23.0,,10.0,,9.44,,,-61.4,30.0,,310031.0,,,,,,,,,,,,
D,SMCL,2026-03-20,1.43,,39.6,,,,1.72,,23.5,-66.9,30.0,,,11:33 KST,,,,,,,,,,,
D,QVCGA,2026-03-20,1.78,,40.4,,,,2.14,,24.5,-40.3,30.0,,,11:33 KST,,,,,,,,,,,
C,SONM,2026-03-23,2.9,16.9,21.0,-13.4,5.0,0.0,3.05,2.32,,,,,,22:08 KST,,,,,,,,,,,
C,GLOO,2026-03-23,4.83,20.4,21.6,-10.1,8.0,0.0,5.07,3.86,,,,,,22:08 KST,,,,,,,,,,,
D,AHMA,2026-03-23,2.24,,117.7,,,,2.69,,24.0,-55.7,30.0,,,22:08 KST,,,,,,,,,,,
D,NXTT,2026-03-24,1.0,,57.7,,,,1.2,,19.7,-54.3,30.0,,,21:38 KST,,,,,,,,,,,
D,AHMA,2026-03-24,1.7,,35.2,,,,2.04,,22.6,-65.6,30.0,,,21:38 KST,,,,,,,,,,,
A,AHMA,2026-03-27,1.1,3.6,23.9,,11.0,3.8,1.16,0.88,,,,-35.3,,19:06 KST,,,,,,,,,,,
C,LTRN,2026-03-27,1.12,6.9,57.8,-46.4,4.0,0.9,1.18,0.9,,,,,,19:06 KST,,,,,,,,,,,
C,SKYX,2026-03-27,1.2,12.1,21.4,-23.4,4.0,1.27,1.25,0.96,,,,,,19:06 KST,,,,,,,,,,,
D,LTRN,2026-03-27,1.12,,57.8,,,,1.34,,14.9,-47.4,30.0,,,19:06 KST,,,,,,,,,,,
D,LBGJ,2026-03-30,1.07,,41.2,,,,1.28,,22.1,-58.8,30.0,,,13:03 KST,,,,,,,,,,,
D,FBLG,2026-03-30,2.28,,45.1,,,,2.74,,23.3,-54.4,30.0,,,13:03 KST,,,,,,,,,,,
E,ONDG,2026-03-30,4.33,,23.1,,5.0,,4.76,,,-46.1,30.0,,1942145.0,13:03 KST,,,,,,,,,,,
